Age,Income,Gender,Expenses,City,Education,Marital Status,Date
66.0,51000.0,Female,23500.0,London,Bachelor,,2023-01-08 21:35:24.572457245
69.0,,Female,37600.0,Paris,Master,Married,2023-01-08 22:27:49.846984698
29.0,57500.0,Male,27600.0,London,High School,Single,2023-01-08 23:20:15.121512151
56.0,53700.0,Male,29900.0,Paris,Bachelor,Married,2023-01-09 00:12:40.396039603
19.0,51200.0,Male,30500.0,Berlin,High School,Divorced,2023-01-09 01:05:05.670567056
20.0,56000.0,Male,30200.0,Berlin,Master,Single,2023-01-09 01:57:30.945094509
,53000.0,,41100.0,Rome,High School,Married,2023-01-09 02:49:56.219621962
54.0,34600.0,Male,21600.0,Paris,Bachelor,Married,2023-01-09 03:42:21.494149414
66.0,50700.0,Male,37400.0,Paris,High School,Single,2023-01-09 04:34:46.768676867
34.0,33900.0,Male,23900.0,London,High School,Single,2023-01-09 05:27:12.043204320
66.0,51200.0,Male,34000.0,Paris,High School,Married,2023-01-09 06:19:37.317731773
19.0,42800.0,Male,25600.0,Paris,High School,Single,2023-01-09 07:12:02.592259225
19.0,88100.0,Male,35300.0,London,High School,Single,2023-01-09 08:04:27.866786678
45.0,49400.0,Male,31900.0,London,High School,Married,2023-01-09 08:56:53.141314131
40.0,28900.0,Male,15700.0,Paris,High School,Divorced,2023-01-09 09:49:18.415841584
54.0,48000.0,Female,21500.0,London,High School,Single,2023-01-09 10:41:43.690369036
49.0,57800.0,Male,33400.0,London,Bachelor,Married,2023-01-09 11:34:08.964896489
50.0,75100.0,Male,52100.0,Paris,Bachelor,Widowed,2023-01-09 12:26:34.239423942
18.0,41200.0,Female,32300.0,Madrid,High School,Single,2023-01-09 13:18:59.513951395
36.0,26300.0,Male,14500.0,Paris,High School,Married,2023-01-09 14:11:24.788478847
19.0,62300.0,Female,38400.0,Paris,High School,Single,2023-01-09 15:03:50.063006300
61.0,29300.0,Male,21700.0,Paris,High School,Married,
43.0,,Female,23200.0,Paris,High School,Single,2023-01-09 16:48:40.612061206
49.0,46100.0,Female,21100.0,Madrid,High School,Single,2023-01-09 17:41:05.886588658
23.0,49000.0,Male,25100.0,Paris,Master,Married,2023-01-09 18:33:31.161116111
49.0,60300.0,Male,45800.0,Berlin,Master,Married,2023-01-09 19:25:56.435643564
21.0,39700.0,Female,18400.0,London,High School,Single,2023-01-09 20:18:21.710171017
28.0,45900.0,Female,24400.0,London,Bachelor,Married,2023-01-09 21:10:46.984698469
34.0,49800.0,Female,29200.0,Madrid,High School,Widowed,2023-01-09 22:03:12.259225922
,52200.0,,38600.0,Berlin,High School,Divorced,2023-01-09 22:55:37.533753375
41.0,51500.0,Female,39900.0,Paris,Master,Married,2023-01-09 23:48:02.808280828
22.0,56500.0,Male,32200.0,Berlin,High School,Divorced,2023-01-10 00:40:28.082808280
69.0,62700.0,Male,48500.0,London,Bachelor,Divorced,2023-01-10 01:32:53.357335733
51.0,55900.0,Male,26000.0,Paris,Bachelor,Married,2023-01-10 02:25:18.631863186
23.0,56800.0,Male,26300.0,London,Bachelor,Divorced,2023-01-10 03:17:43.906390639
39.0,26300.0,Male,20500.0,Rome,High School,Married,
28.0,50800.0,Male,30700.0,Paris,Bachelor,Married,2023-01-10 05:02:34.455445544
65.0,57200.0,Male,27100.0,Berlin,High School,Married,2023-01-10 05:54:59.729972997
33.0,60900.0,Male,36200.0,Paris,High School,Single,2023-01-10 06:47:25.004500450
50.0,39600.0,Female,28200.0,Paris,Master,Single,2023-01-10 07:39:50.279027902
26.0,40100.0,Male,29300.0,Madrid,Bachelor,Married,2023-01-10 08:32:15.553555355
23.0,41400.0,Male,30900.0,London,Master,Married,2023-01-10 09:24:40.828082808
33.0,58000.0,Male,36400.0,Paris,High School,Married,2023-01-10 10:17:06.102610261
46.0,65500.0,Male,48900.0,London,High School,Divorced,2023-01-10 11:09:31.377137713
20.0,43900.0,Male,26500.0,Berlin,Bachelor,Single,2023-01-10 12:01:56.651665166
37.0,63600.0,Male,40900.0,London,High School,Single,2023-01-10 12:54:21.926192619
53.0,51900.0,Male,36500.0,Paris,Bachelor,Married,2023-01-10 13:46:47.200720072
36.0,48100.0,Female,27400.0,London,Master,Single,2023-01-10 14:39:12.475247524
43.0,46800.0,Male,20100.0,Madrid,Master,Married,2023-01-10 15:31:37.749774977
20.0,61200.0,Male,33100.0,London,Bachelor,Married,2023-01-10 16:24:03.024302430
36.0,54900.0,Male,35700.0,Berlin,High School,Married,2023-01-10 17:16:28.298829883
37.0,84100.0,Male,40100.0,Berlin,Master,,2023-01-10 18:08:53.573357335
49.0,37200.0,Male,17100.0,Paris,Bachelor,Single,2023-01-10 19:01:18.847884788
24.0,57800.0,Male,29900.0,London,Master,Single,2023-01-10 19:53:44.122412241
69.0,42100.0,Male,17400.0,Paris,Bachelor,,2023-01-10 20:46:09.396939693
58.0,37000.0,Male,25800.0,Paris,Master,Single,
50.0,49800.0,Male,25100.0,Paris,High School,Married,2023-01-10 22:30:59.945994599
57.0,52100.0,Male,23400.0,Berlin,Bachelor,Single,2023-01-10 23:23:25.220522052
56.0,93800.0,Female,63800.0,Paris,High School,Married,2023-01-11 00:15:50.495049504
35.0,47200.0,Male,34800.0,Paris,Bachelor,Widowed,2023-01-11 01:08:15.769576957
57.0,33000.0,Male,13500.0,Paris,Bachelor,Single,2023-01-11 02:00:41.044104410
18.0,54100.0,Male,26700.0,Paris,High School,Married,2023-01-11 02:53:06.318631863
28.0,18900.0,Female,14700.0,London,Bachelor,Single,2023-01-11 03:45:31.593159315
45.0,48600.0,Female,26900.0,Berlin,High School,Married,2023-01-11 04:37:56.867686768
42.0,50200.0,Male,38900.0,Paris,High School,Single,2023-01-11 05:30:22.142214221
67.0,61900.0,Female,31500.0,Paris,High School,Married,2023-01-11 06:22:47.416741674
40.0,64600.0,Male,31500.0,Berlin,High School,Single,2023-01-11 07:15:12.691269126
48.0,42400.0,Female,20600.0,London,High School,Divorced,2023-01-11 08:07:37.965796579
47.0,47700.0,Male,20700.0,Berlin,High School,Single,2023-01-11 09:00:03.240324032
59.0,38500.0,Male,29200.0,Paris,High School,Divorced,2023-01-11 09:52:28.514851485
52.0,33100.0,Male,26200.0,Berlin,High School,Single,2023-01-11 10:44:53.789378937
,54600.0,,42700.0,London,High School,Single,2023-01-11 11:37:19.063906390
33.0,30900.0,Male,22900.0,London,Bachelor,Married,2023-01-11 12:29:44.338433843
43.0,43800.0,Male,32400.0,Paris,Bachelor,Divorced,2023-01-11 13:22:09.612961296
65.0,35100.0,Male,23300.0,Paris,PhD,Married,2023-01-11 14:14:34.887488748
69.0,58200.0,Male,42500.0,Berlin,High School,Single,2023-01-11 15:07:00.162016201
66.0,77000.0,Male,37200.0,Paris,Master,Divorced,2023-01-11 15:59:25.436543654
19.0,30500.0,Female,16900.0,Paris,High School,Married,2023-01-11 16:51:50.711071107
18.0,22200.0,Female,14600.0,London,High School,Single,2023-01-11 17:44:15.985598559
65.0,,Female,36100.0,London,High School,Married,2023-01-11 18:36:41.260126012
29.0,50200.0,Female,33300.0,London,High School,Married,2023-01-11 19:29:06.534653465
22.0,53300.0,Male,39200.0,London,High School,Married,2023-01-11 20:21:31.809180918
54.0,43300.0,Male,25500.0,London,Bachelor,Married,2023-01-11 21:13:57.083708370
49.0,47000.0,Male,32300.0,London,Master,Divorced,2023-01-11 22:06:22.358235823
26.0,55500.0,Male,44000.0,Madrid,PhD,Married,2023-01-11 22:58:47.632763276
58.0,65600.0,Male,30300.0,London,Bachelor,Married,2023-01-11 23:51:12.907290729
52.0,20700.0,Female,16000.0,London,Bachelor,Single,2023-01-12 00:43:38.181818181
36.0,44500.0,Male,27100.0,Paris,High School,Married,2023-01-12 01:36:03.456345634
65.0,53200.0,Female,35000.0,Madrid,Master,Widowed,2023-01-12 02:28:28.730873087
33.0,36200.0,Male,27200.0,Paris,Bachelor,Single,2023-01-12 03:20:54.005400540
20.0,76000.0,Female,42900.0,London,High School,Married,2023-01-12 04:13:19.279927992
37.0,40500.0,Male,23000.0,Paris,Bachelor,Married,2023-01-12 05:05:44.554455445
41.0,49400.0,Male,30200.0,London,High School,Married,2023-01-12 05:58:09.828982898
50.0,58300.0,Female,23800.0,Paris,Bachelor,Divorced,2023-01-12 06:50:35.103510351
41.0,41100.0,Male,24600.0,Berlin,Master,Single,2023-01-12 07:43:00.378037803
69.0,22300.0,Male,11500.0,Paris,Bachelor,Married,2023-01-12 08:35:25.652565256
28.0,43600.0,Male,33600.0,London,Master,Single,2023-01-12 09:27:50.927092709
66.0,65400.0,Male,28500.0,Berlin,Master,Divorced,2023-01-12 10:20:16.201620162
25.0,44900.0,Male,26200.0,Paris,High School,Single,2023-01-12 11:12:41.476147614
53.0,37300.0,Male,29100.0,Paris,High School,Widowed,2023-01-12 12:05:06.750675067
