age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
51.0,management,married,tertiary,no,6530,yes,no,,5,may,91.0,1,-1,0,
60.0,retired,married,tertiary,no,100,no,no,,5,may,528.0,1,-1,0,
59.0,management,divorced,tertiary,no,59,yes,no,,5,may,273.0,1,-1,0,
55.0,technician,married,secondary,no,1205,yes,no,,5,may,158.0,2,-1,0,
35.0,blue-collar,single,secondary,no,12223,yes,yes,,5,may,177.0,1,-1,0,
57.0,blue-collar,married,secondary,no,5935,yes,yes,,5,may,258.0,1,-1,0,
31.0,services,married,secondary,no,25,yes,yes,,5,may,172.0,1,-1,0,
54.0,management,married,secondary,no,282,yes,yes,,5,may,154.0,1,-1,0,
55.0,blue-collar,married,primary,no,23,yes,no,,5,may,291.0,1,-1,0,
43.0,technician,married,secondary,no,1937,yes,no,,5,may,181.0,1,-1,0,
53.0,technician,married,secondary,no,384,yes,no,,5,may,176.0,1,-1,0,
44.0,blue-collar,married,secondary,no,582,no,yes,,5,may,211.0,1,-1,0,
55.0,services,divorced,secondary,no,91,no,no,,5,may,349.0,1,-1,0,
49.0,services,divorced,secondary,no,0,yes,yes,,5,may,272.0,1,-1,0,
55.0,services,divorced,secondary,yes,1,yes,no,,5,may,208.0,1,-1,0,
45.0,admin.,single,secondary,no,206,yes,no,,5,may,193.0,1,-1,0,
47.0,services,divorced,secondary,no,164,no,no,,5,may,212.0,1,-1,0,
42.0,technician,single,secondary,no,690,yes,no,,5,may,20.0,1,-1,0,
59.0,admin.,married,secondary,no,2343,yes,no,,5,may,1042.0,1,-1,0,
46.0,self-employed,married,tertiary,no,137,yes,yes,,5,may,246.0,1,-1,0,
51.0,blue-collar,married,primary,no,173,yes,no,,5,may,529.0,2,-1,0,
56.0,admin.,married,secondary,no,45,no,no,,5,may,1467.0,1,-1,0,
41.0,technician,married,secondary,no,1270,yes,no,,5,may,1389.0,1,-1,0,
46.0,management,divorced,secondary,no,16,yes,yes,,5,may,188.0,2,-1,0,
57.0,retired,married,secondary,no,486,yes,no,,5,may,180.0,2,-1,0,
42.0,management,single,secondary,no,50,no,no,,5,may,48.0,1,-1,0,
30.0,technician,married,secondary,no,152,yes,yes,,5,may,213.0,2,-1,0,
60.0,admin.,married,secondary,no,290,yes,no,,5,may,583.0,1,-1,0,
60.0,blue-collar,married,,no,54,yes,no,,5,may,221.0,1,-1,0,
57.0,entrepreneur,divorced,secondary,no,-37,no,no,,5,may,173.0,1,-1,0,
36.0,management,married,tertiary,no,101,yes,yes,,5,may,426.0,1,-1,0,
55.0,blue-collar,married,secondary,no,383,no,no,,5,may,287.0,1,-1,0,
60.0,retired,married,tertiary,no,81,yes,no,,5,may,101.0,1,-1,0,
39.0,technician,married,secondary,no,0,yes,no,,5,may,203.0,1,-1,0,
46.0,management,married,tertiary,no,229,yes,no,,5,may,197.0,1,-1,0,
44.0,blue-collar,married,secondary,no,-674,yes,no,,5,may,257.0,1,-1,0,
53.0,blue-collar,married,primary,no,90,no,no,,5,may,124.0,1,-1,0,
52.0,blue-collar,married,primary,no,128,yes,no,,5,may,229.0,1,-1,0,
59.0,blue-collar,married,primary,no,179,yes,no,,5,may,55.0,3,-1,0,
27.0,technician,single,tertiary,no,0,yes,no,,5,may,400.0,1,-1,0,
44.0,blue-collar,married,secondary,no,54,yes,no,,5,may,,1,-1,0,
47.0,technician,married,tertiary,no,151,yes,no,,5,may,190.0,1,-1,0,
34.0,admin.,married,secondary,no,61,no,yes,,5,may,21.0,1,-1,0,
59.0,retired,single,secondary,no,30,yes,no,,5,may,514.0,1,-1,0,
45.0,management,married,tertiary,no,523,yes,no,,5,may,849.0,2,-1,0,
29.0,services,divorced,secondary,no,31,yes,no,,5,may,194.0,1,-1,0,
46.0,technician,divorced,secondary,no,79,no,no,,5,may,144.0,1,-1,0,
56.0,self-employed,married,primary,no,-34,yes,yes,,5,may,212.0,2,-1,0,
36.0,blue-collar,married,primary,no,448,yes,no,,5,may,286.0,1,-1,0,
59.0,retired,divorced,primary,no,81,yes,no,,5,may,107.0,1,-1,0,
44.0,blue-collar,married,secondary,no,144,yes,no,,5,may,247.0,2,-1,0,
41.0,admin.,married,secondary,no,351,yes,no,,5,may,518.0,1,-1,0,
33.0,management,single,tertiary,no,-67,yes,no,,5,may,364.0,1,-1,0,
59.0,management,divorced,tertiary,no,262,no,no,,5,may,178.0,1,-1,0,
57.0,technician,married,primary,no,0,no,no,,5,may,98.0,1,-1,0,
56.0,technician,divorced,,no,56,yes,no,,5,may,439.0,1,-1,0,
51.0,blue-collar,married,secondary,no,26,yes,no,,5,may,79.0,1,-1,0,
34.0,admin.,married,,no,3,yes,no,,5,may,120.0,3,-1,0,
43.0,services,married,secondary,no,41,yes,yes,,5,may,127.0,2,-1,0,
52.0,technician,married,tertiary,no,7,no,yes,,5,may,175.0,1,-1,0,
33.0,technician,single,secondary,no,105,yes,no,,5,may,262.0,2,-1,0,
29.0,admin.,single,secondary,no,818,yes,yes,,5,may,61.0,1,-1,0,
34.0,services,married,secondary,no,-16,yes,yes,,5,may,78.0,1,-1,0,
31.0,blue-collar,married,secondary,no,0,yes,no,,5,may,143.0,1,-1,0,
55.0,services,married,secondary,no,2476,yes,no,,5,may,579.0,1,-1,0,
55.0,management,married,,no,1185,no,no,,5,may,677.0,1,-1,0,
32.0,admin.,single,secondary,no,217,yes,no,,5,may,345.0,1,-1,0,
38.0,technician,single,secondary,no,1685,yes,no,,5,may,185.0,1,-1,0,
55.0,admin.,single,secondary,no,802,yes,yes,,5,may,100.0,2,-1,0,
28.0,unemployed,single,tertiary,no,0,yes,no,,5,may,125.0,2,-1,0,
23.0,blue-collar,married,secondary,no,94,yes,no,,5,may,193.0,1,-1,0,
32.0,technician,single,secondary,no,0,yes,no,,5,may,136.0,1,-1,0,
43.0,services,single,,no,0,no,no,,5,may,73.0,1,-1,0,
32.0,blue-collar,married,secondary,no,517,yes,no,,5,may,528.0,1,-1,0,
46.0,blue-collar,married,secondary,no,265,yes,no,,5,may,541.0,1,-1,0,
53.0,housemaid,divorced,primary,no,947,yes,no,,5,may,163.0,1,-1,0,
34.0,self-employed,single,secondary,no,3,yes,no,,5,may,301.0,1,-1,0,
57.0,unemployed,married,tertiary,no,42,no,no,,5,may,46.0,1,-1,0,
37.0,blue-collar,married,secondary,no,37,yes,no,,5,may,204.0,1,-1,0,
59.0,blue-collar,married,secondary,no,57,yes,no,,5,may,98.0,1,-1,0,
33.0,services,married,secondary,no,22,yes,no,,5,may,71.0,1,-1,0,
56.0,blue-collar,divorced,primary,no,8,yes,no,,5,may,157.0,2,-1,0,
48.0,unemployed,married,secondary,no,293,yes,no,,5,may,243.0,1,-1,0,
43.0,services,married,primary,no,3,yes,no,,5,may,186.0,2,-1,0,
54.0,blue-collar,married,primary,no,348,yes,no,,5,may,579.0,2,-1,0,
51.0,blue-collar,married,,no,-19,yes,no,,5,may,163.0,2,-1,0,
26.0,student,single,secondary,no,0,yes,no,,5,may,610.0,2,-1,0,
40.0,management,married,tertiary,no,-4,yes,no,,5,may,2033.0,1,-1,0,
39.0,management,married,secondary,no,18,yes,no,,5,may,85.0,1,-1,0,
50.0,technician,married,primary,no,139,no,no,,5,may,114.0,2,-1,0,
41.0,services,married,secondary,no,0,yes,no,,5,may,114.0,2,-1,0,
51.0,blue-collar,married,,no,1883,yes,no,,5,may,57.0,1,-1,0,
60.0,retired,divorced,secondary,no,216,yes,no,,5,may,238.0,1,-1,0,
52.0,blue-collar,married,secondary,no,782,yes,no,,5,may,93.0,3,-1,0,
48.0,blue-collar,married,secondary,no,904,yes,no,,5,may,128.0,2,-1,0,
48.0,services,married,,no,1705,yes,no,,5,may,107.0,1,-1,0,
39.0,technician,single,tertiary,no,47,yes,no,,5,may,181.0,1,-1,0,
47.0,services,single,secondary,no,176,yes,no,,5,may,303.0,2,-1,0,
40.0,blue-collar,married,secondary,no,1225,yes,no,,5,may,558.0,5,-1,0,
45.0,technician,married,secondary,no,86,yes,no,,5,may,270.0,1,-1,0,
26.0,admin.,single,secondary,no,82,yes,no,,5,may,228.0,1,-1,0,
52.0,management,married,tertiary,no,271,yes,no,,5,may,99.0,1,-1,0,
54.0,technician,married,secondary,no,1378,yes,no,,5,may,240.0,1,-1,0,
54.0,admin.,married,tertiary,no,184,no,no,,5,may,673.0,2,-1,0,
50.0,blue-collar,married,primary,no,0,no,no,,5,may,233.0,3,-1,0,
35.0,blue-collar,married,secondary,no,0,yes,no,,5,may,1056.0,1,-1,0,
44.0,services,married,secondary,no,1357,yes,yes,,5,may,250.0,1,-1,0,
53.0,entrepreneur,married,,no,19,yes,no,,5,may,252.0,1,-1,0,
35.0,retired,single,primary,no,434,no,no,,5,may,138.0,1,-1,0,
60.0,admin.,divorced,secondary,no,92,yes,no,,5,may,130.0,1,-1,0,
53.0,admin.,divorced,secondary,no,1151,yes,no,,5,may,412.0,1,-1,0,
48.0,unemployed,married,secondary,no,41,yes,no,,5,may,179.0,2,-1,0,
34.0,technician,married,secondary,no,51,yes,no,,5,may,19.0,2,-1,0,
54.0,services,married,secondary,no,214,yes,no,,5,may,458.0,2,-1,0,
51.0,management,married,secondary,no,1161,yes,no,,5,may,717.0,1,-1,0,
31.0,services,married,tertiary,no,37,yes,no,,5,may,313.0,1,-1,0,
35.0,technician,divorced,secondary,no,787,yes,no,,5,may,683.0,2,-1,0,
35.0,services,married,secondary,no,59,yes,no,,5,may,1077.0,1,-1,0,
38.0,technician,married,secondary,no,253,yes,no,,5,may,416.0,1,-1,0,
36.0,admin.,married,tertiary,no,211,yes,no,,5,may,146.0,2,-1,0,
58.0,retired,married,primary,no,235,yes,no,,5,may,167.0,1,-1,0,
40.0,services,divorced,,no,4384,yes,no,,5,may,315.0,1,-1,0,
54.0,management,married,secondary,no,4080,no,no,,5,may,140.0,1,-1,0,
34.0,blue-collar,single,secondary,no,53,yes,yes,,5,may,346.0,1,-1,0,
31.0,management,single,tertiary,no,0,yes,no,,5,may,562.0,1,-1,0,
51.0,retired,married,secondary,no,2127,yes,no,,5,may,172.0,1,-1,0,
33.0,management,married,tertiary,no,377,yes,no,,5,may,217.0,1,-1,0,
55.0,management,married,tertiary,no,73,yes,no,,5,may,142.0,2,-1,0,
42.0,admin.,married,secondary,no,445,yes,no,,5,may,67.0,1,-1,0,
34.0,blue-collar,married,secondary,no,243,yes,no,,5,may,291.0,1,-1,0,
33.0,blue-collar,single,secondary,no,307,yes,no,,5,may,309.0,2,-1,0,
38.0,services,married,secondary,no,155,yes,no,,5,may,248.0,1,-1,0,
50.0,technician,divorced,tertiary,no,173,no,yes,,5,may,98.0,1,-1,0,
43.0,management,married,tertiary,no,400,yes,no,,5,may,,1,-1,0,
61.0,blue-collar,divorced,primary,no,1428,yes,no,,5,may,82.0,2,-1,0,
47.0,admin.,married,secondary,no,219,yes,no,,5,may,,1,-1,0,
48.0,self-employed,married,tertiary,no,7,yes,no,,5,may,286.0,1,-1,0,
44.0,blue-collar,married,secondary,no,575,yes,no,,5,may,477.0,1,-1,0,
35.0,student,single,,no,298,yes,no,,5,may,611.0,2,-1,0,
35.0,services,married,secondary,no,0,yes,no,,5,may,471.0,1,-1,0,
50.0,services,married,secondary,no,5699,yes,no,,5,may,381.0,2,-1,0,
41.0,management,married,tertiary,no,176,yes,yes,,5,may,42.0,1,-1,0,
41.0,management,married,tertiary,no,517,yes,no,,5,may,251.0,1,-1,0,
39.0,services,single,,no,257,yes,no,,5,may,408.0,1,-1,0,
42.0,retired,married,secondary,no,56,yes,no,,5,may,215.0,1,-1,0,
38.0,blue-collar,married,secondary,no,-390,yes,no,,5,may,287.0,1,-1,0,
53.0,retired,married,secondary,no,330,yes,no,,5,may,216.0,2,-1,0,
59.0,housemaid,divorced,primary,no,195,no,no,,5,may,366.0,2,-1,0,
36.0,services,married,secondary,no,301,yes,no,,5,may,210.0,1,-1,0,
54.0,blue-collar,married,primary,no,-41,yes,no,,5,may,288.0,1,-1,0,
40.0,technician,married,tertiary,no,483,yes,no,,5,may,168.0,1,-1,0,
47.0,,married,,no,28,no,no,,5,may,338.0,2,-1,0,
53.0,unemployed,married,,no,13,no,no,,5,may,410.0,3,-1,0,
46.0,housemaid,married,primary,no,965,no,no,,5,may,177.0,1,-1,0,
39.0,management,married,tertiary,no,378,yes,yes,,5,may,127.0,2,-1,0,
40.0,unemployed,married,secondary,no,219,yes,no,,5,may,357.0,1,-1,0,
28.0,blue-collar,married,primary,no,324,yes,no,,5,may,175.0,1,-1,0,
35.0,entrepreneur,divorced,secondary,no,-69,yes,no,,5,may,300.0,1,-1,0,
55.0,retired,married,secondary,no,0,no,yes,,5,may,136.0,1,-1,0,
43.0,technician,divorced,,no,205,yes,no,,5,may,1419.0,1,-1,0,
48.0,blue-collar,married,primary,no,278,yes,no,,5,may,125.0,2,-1,0,
58.0,management,married,,no,1065,yes,no,,5,may,213.0,3,-1,0,
33.0,management,single,tertiary,no,34,yes,no,,5,may,27.0,1,-1,0,
36.0,blue-collar,married,,no,1033,no,no,,5,may,238.0,2,-1,0,
53.0,services,divorced,secondary,no,1467,yes,no,,5,may,124.0,1,-1,0,
47.0,blue-collar,married,primary,no,-12,yes,no,,5,may,18.0,1,-1,0,
31.0,services,married,secondary,no,388,yes,no,,5,may,730.0,2,-1,0,
57.0,entrepreneur,married,secondary,no,294,yes,no,,5,may,746.0,2,-1,0,
53.0,blue-collar,married,,no,1827,no,no,,5,may,121.0,1,-1,0,
55.0,blue-collar,married,primary,no,627,yes,no,,5,may,247.0,1,-1,0,
45.0,blue-collar,married,primary,no,25,yes,no,,5,may,40.0,1,-1,0,
53.0,admin.,divorced,secondary,no,315,yes,no,,5,may,181.0,2,-1,0,
37.0,blue-collar,married,primary,no,0,yes,no,,5,may,79.0,1,-1,0,
44.0,admin.,divorced,secondary,no,66,yes,no,,5,may,206.0,1,-1,0,
49.0,blue-collar,divorced,primary,no,-9,yes,yes,,5,may,389.0,1,-1,0,
46.0,technician,married,secondary,no,349,yes,yes,,5,may,127.0,1,-1,0,
43.0,entrepreneur,married,,no,100,yes,no,,5,may,702.0,1,-1,0,
38.0,admin.,married,secondary,no,0,no,no,,5,may,151.0,1,-1,0,
43.0,technician,married,secondary,no,434,yes,no,,5,may,117.0,1,-1,0,
49.0,management,married,tertiary,no,3237,yes,no,,5,may,232.0,3,-1,0,
42.0,management,married,,no,275,no,no,,5,may,408.0,2,-1,0,
22.0,blue-collar,single,secondary,no,0,yes,no,,5,may,179.0,2,-1,0,
40.0,management,married,tertiary,no,207,yes,no,,5,may,39.0,1,-1,0,
39.0,blue-collar,married,secondary,no,483,yes,no,,5,may,282.0,1,-1,0,
51.0,services,married,secondary,no,2248,yes,no,,5,may,714.0,2,-1,0,
49.0,admin.,married,secondary,no,428,yes,no,,5,may,50.0,1,-1,0,
53.0,blue-collar,married,secondary,no,0,yes,yes,,5,may,181.0,1,-1,0,
34.0,services,single,secondary,no,0,yes,no,,5,may,142.0,1,-1,0,
33.0,technician,divorced,secondary,no,140,yes,no,,5,may,227.0,1,-1,0,
50.0,management,single,tertiary,no,297,yes,no,,5,may,119.0,1,-1,0,
39.0,blue-collar,married,primary,no,279,yes,no,,5,may,361.0,1,-1,0,
59.0,entrepreneur,divorced,secondary,no,901,yes,no,,5,may,73.0,3,-1,0,
30.0,technician,single,secondary,no,2573,yes,no,,5,may,67.0,2,-1,0,
36.0,services,married,secondary,no,143,yes,yes,,5,may,350.0,1,-1,0,
40.0,blue-collar,married,secondary,no,475,yes,no,,5,may,332.0,2,-1,0,
53.0,blue-collar,married,secondary,no,70,yes,no,,5,may,611.0,2,-1,0,
34.0,management,single,tertiary,no,318,yes,no,,5,may,113.0,2,-1,0,
37.0,technician,married,secondary,no,275,yes,no,,5,may,132.0,1,-1,0,
42.0,management,divorced,tertiary,no,742,yes,no,,5,may,58.0,3,-1,0,
41.0,entrepreneur,married,primary,no,236,yes,no,,5,may,151.0,1,-1,0,
30.0,student,single,tertiary,no,25,yes,no,,5,may,89.0,2,-1,0,
37.0,management,single,tertiary,no,600,yes,no,,5,may,152.0,1,-1,0,
39.0,admin.,divorced,secondary,no,-349,yes,no,,5,may,611.0,2,-1,0,
41.0,blue-collar,married,primary,no,183,yes,yes,,5,may,110.0,2,-1,0,
40.0,blue-collar,married,primary,no,0,yes,no,,5,may,463.0,1,-1,0,
42.0,management,single,tertiary,no,0,yes,yes,,5,may,562.0,2,-1,0,
40.0,blue-collar,divorced,primary,no,0,yes,no,,5,may,962.0,1,-1,0,
57.0,technician,married,secondary,no,1078,yes,no,,5,may,10.0,4,-1,0,
56.0,entrepreneur,divorced,secondary,no,155,no,no,,5,may,118.0,3,-1,0,
37.0,admin.,married,secondary,no,190,yes,no,,5,may,92.0,2,-1,0,
59.0,retired,married,secondary,no,319,yes,no,,5,may,143.0,3,-1,0,
39.0,services,divorced,secondary,no,-185,yes,no,,5,may,189.0,3,-1,0,
49.0,services,married,secondary,no,47,no,no,,5,may,234.0,2,-1,0,
38.0,services,single,secondary,no,570,yes,no,,5,may,75.0,2,-1,0,
36.0,self-employed,married,tertiary,no,19,no,no,,5,may,189.0,2,-1,0,
50.0,blue-collar,married,primary,no,61,yes,no,,5,may,621.0,3,-1,0,
41.0,admin.,married,secondary,no,-62,yes,yes,,5,may,55.0,2,-1,0,
54.0,technician,married,tertiary,no,258,no,no,,5,may,310.0,4,-1,0,
58.0,blue-collar,married,primary,no,76,yes,no,,5,may,156.0,2,-1,0,
30.0,blue-collar,single,secondary,no,0,yes,no,,5,may,5.0,2,-1,0,
33.0,admin.,single,secondary,no,352,yes,no,,5,may,225.0,2,-1,0,
47.0,admin.,married,secondary,no,368,yes,no,,5,may,125.0,2,-1,0,
50.0,technician,single,tertiary,no,339,yes,no,,5,may,2.0,3,-1,0,
32.0,blue-collar,married,secondary,no,1331,yes,no,,5,may,286.0,2,-1,0,
40.0,self-employed,married,secondary,no,672,yes,no,,5,may,164.0,2,-1,0,
37.0,management,married,tertiary,no,58,yes,no,,5,may,98.0,2,-1,0,
54.0,technician,single,,no,447,yes,no,,5,may,742.0,2,-1,0,
24.0,student,single,secondary,no,423,yes,no,,5,may,226.0,3,-1,0,
54.0,management,married,tertiary,no,0,no,no,,5,may,120.0,2,-1,0,
34.0,technician,married,secondary,no,19,yes,no,,5,may,362.0,4,-1,0,
56.0,technician,divorced,primary,no,13,yes,no,,5,may,357.0,2,-1,0,
31.0,blue-collar,single,secondary,no,3,yes,no,,5,may,200.0,2,-1,0,
,student,single,secondary,no,82,yes,no,,5,may,204.0,2,-1,0,
42.0,blue-collar,divorced,primary,no,28,yes,no,,5,may,126.0,3,-1,0,
57.0,technician,married,secondary,no,792,yes,no,,5,may,65.0,2,-1,0,
42.0,blue-collar,married,,no,408,yes,no,,5,may,107.0,2,-1,0,
51.0,admin.,married,secondary,no,531,yes,no,,5,may,267.0,2,-1,0,
57.0,retired,married,secondary,no,211,yes,no,,5,may,248.0,2,-1,0,
36.0,services,single,secondary,no,62,yes,no,,5,may,215.0,2,-1,0,
53.0,services,married,,no,257,yes,no,,5,may,,2,-1,0,
50.0,technician,married,secondary,no,1234,yes,no,,5,may,205.0,2,-1,0,
54.0,management,married,tertiary,no,313,yes,no,,5,may,83.0,2,-1,0,
55.0,blue-collar,married,secondary,no,89,yes,no,,5,may,106.0,3,-1,0,
44.0,blue-collar,married,secondary,no,129,yes,yes,,5,may,189.0,2,-1,0,
43.0,management,married,,no,0,yes,no,,5,may,105.0,2,-1,0,
56.0,admin.,married,secondary,no,353,yes,no,,5,may,106.0,2,-1,0,
54.0,technician,married,,no,851,yes,no,,5,may,108.0,2,-1,0,
55.0,services,divorced,primary,no,96,yes,yes,,5,may,311.0,2,-1,0,
37.0,services,divorced,secondary,no,398,yes,yes,,5,may,214.0,2,-1,0,
,admin.,single,tertiary,no,193,no,no,,5,may,132.0,2,-1,0,
46.0,admin.,married,secondary,no,-358,yes,no,,5,may,358.0,2,-1,0,
36.0,blue-collar,married,secondary,no,539,yes,yes,,5,may,453.0,2,-1,0,
51.0,technician,single,secondary,no,0,yes,no,,5,may,364.0,2,-1,0,
40.0,retired,single,primary,no,0,no,no,,5,may,136.0,2,-1,0,
42.0,blue-collar,married,secondary,no,490,yes,no,,5,may,386.0,2,-1,0,
51.0,blue-collar,married,secondary,no,0,yes,no,,5,may,173.0,2,-1,0,
49.0,blue-collar,married,,no,403,yes,no,,5,may,241.0,2,-1,0,
48.0,management,married,secondary,no,161,yes,no,,5,may,224.0,3,-1,0,
32.0,technician,divorced,tertiary,no,2558,no,no,,5,may,148.0,2,-1,0,
31.0,admin.,single,secondary,no,98,yes,no,,5,may,196.0,2,-1,0,
55.0,management,single,tertiary,no,115,no,no,,5,may,111.0,4,-1,0,
40.0,blue-collar,single,secondary,no,436,yes,no,,5,may,231.0,3,-1,0,
47.0,technician,married,tertiary,no,831,yes,no,,5,may,316.0,3,-1,0,
57.0,technician,married,,no,206,yes,no,,5,may,216.0,3,-1,0,
41.0,blue-collar,married,secondary,no,290,yes,no,,5,may,240.0,2,-1,0,
48.0,blue-collar,married,secondary,no,1,no,no,,5,may,669.0,3,-1,0,
42.0,blue-collar,married,,no,57,yes,no,,5,may,425.0,2,-1,0,
30.0,blue-collar,single,secondary,no,-457,yes,no,,5,may,143.0,2,-1,0,
58.0,management,single,tertiary,no,1387,yes,no,,5,may,174.0,5,-1,0,
45.0,management,divorced,tertiary,no,24598,yes,no,,5,may,313.0,3,-1,0,
49.0,blue-collar,married,secondary,no,30,yes,no,,5,may,135.0,4,-1,0,
42.0,admin.,single,secondary,no,1022,yes,no,,5,may,146.0,2,-1,0,
53.0,technician,married,secondary,no,56,yes,yes,,5,may,152.0,2,-1,0,
51.0,admin.,single,secondary,yes,-2,no,no,,5,may,402.0,3,-1,0,
32.0,services,single,secondary,no,121,yes,no,,5,may,213.0,2,-1,0,
41.0,blue-collar,single,secondary,no,842,yes,no,,5,may,144.0,3,-1,0,
43.0,management,divorced,secondary,no,693,yes,no,,5,may,124.0,3,-1,0,
40.0,blue-collar,divorced,secondary,no,-333,yes,no,,5,may,183.0,2,-1,0,
50.0,blue-collar,married,primary,no,1533,yes,no,,5,may,325.0,2,-1,0,
34.0,management,married,tertiary,no,46,yes,no,,5,may,39.0,4,-1,0,
53.0,services,married,,no,18,no,no,,5,may,503.0,2,-1,0,
45.0,technician,married,secondary,no,44,yes,no,,5,may,95.0,4,-1,0,
