brand,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti,Baleno,2016.0,575000.0,45000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0
Maruti,Alto,2017.0,275000.0,28000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
Chevrolet,Enjoy,2013.0,300000.0,70000,Diesel,Individual,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,7.0
Maruti,Wagon,2009.0,220000.0,120000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,5.0
Maruti,Omni,2018.0,254999.0,25000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,8.0
Maruti,Vitara,2017.0,670000.0,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,Omni,2012.0,150000.0,35000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,5.0
Hyundai,i20,2018.0,730000.0,2388,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Maruti,Vitara,2017.0,650000.0,16200,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,Alto,2019.0,330000.0,10000,CNG,Individual,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,4.0
Maruti,Alto,2019.0,366000.0,15000,Petrol,Individual,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,5.0
Hyundai,Verna,2019.0,1149000.0,5000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0
Datsun,GO,2016.0,150000.0,42000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,5.0
Tata,Safari,2011.0,425000.0,60000,Diesel,Individual,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,7.0
Maruti,800,2012.0,150000.0,76000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,4.0
Jeep,Compass,2019.0,2100000.0,5000,Petrol,Individual,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,5.0
Honda,City,2018.0,925000.0,28900,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,5.0
Honda,City,2013.0,425000.0,86300,Petrol,Dealer,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,5.0
Maruti,Swift,2018.0,675000.0,23300,Petrol,Dealer,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,5.0
Maruti,Vitara,2018.0,819999.0,32600,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,,2018.0,390000.0,10300,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
Toyota,Fortuner,2014.0,1500000.0,77000,Diesel,Dealer,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,7.0
Toyota,Innova,2013.0,700000.0,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,7.0
Mercedes-Benz,,2014.0,1450000.0,27800,Diesel,Dealer,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,5.0
Honda,Amaze,2015.0,425000.0,49800,Diesel,Dealer,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,5.0
Mitsubishi,Pajero,2013.0,1090000.0,151000,Diesel,Dealer,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,7.0
Honda,City,2015.0,600000.0,54700,Diesel,Dealer,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,5.0
Maruti,Ciaz,2018.0,850000.0,64000,Petrol,Dealer,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,5.0
Honda,Jazz,2015.0,525000.0,63000,Diesel,Dealer,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,5.0
Toyota,Innova,2016.0,,127700,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0
Toyota,Innova,2016.0,950000.0,99000,Diesel,Dealer,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,7.0
Audi,A6,2013.0,1750000.0,33900,Diesel,Dealer,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,5.0
Toyota,Corolla,2018.0,1590000.0,25000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0
Audi,A6,2013.0,1689999.0,50000,Diesel,Dealer,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,5.0
Mercedes-Benz,New,2013.0,1425000.0,59000,Diesel,Dealer,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,5.0
Tata,,2011.0,265000.0,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,5.0
Hyundai,i10,2011.0,190000.0,110000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
Hyundai,i20,2013.0,425000.0,60000,Diesel,Individual,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,5.0
,Swift,2015.0,630000.0,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,5.0
Ford,Figo,2017.0,600000.0,25000,Petrol,Individual,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0
Maruti,Baleno,2019.0,650000.0,30000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0
Volkswagen,Ameo,2016.0,540000.0,40000,Diesel,Individual,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,5.0
,City,2015.0,630000.0,135000,Diesel,Individual,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,5.0
Maruti,Wagon,2018.0,448000.0,30000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5.0
Volkswagen,Ameo,2017.0,500000.0,80000,Diesel,Individual,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,5.0
Maruti,Vitara,2016.0,745000.0,70000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,Vitara,2019.0,1025000.0,9850,Diesel,Individual,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Hyundai,i10,2011.0,235000.0,60000,Petrol,Individual,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,5.0
Maruti,Swift,2016.0,630000.0,70000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,5.0
,Fortuner,2015.0,1700000.0,78000,Diesel,Individual,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,7.0
Maruti,Swift,2013.0,450000.0,120000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,5.0
Maruti,,2012.0,450000.0,120000,Petrol,Individual,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0
Volkswagen,Vento,2013.0,450000.0,170000,Diesel,Individual,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0
Toyota,Innova,2016.0,1200000.0,140000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,8.0
Ford,EcoSport,2015.0,610000.0,90000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,5.0
BMW,X1,2016.0,2500000.0,30000,Petrol,Individual,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,5.0
Maruti,Celerio,2017.0,484999.0,10000,Petrol,Dealer,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
Datsun,GO,2016.0,275000.0,49000,Petrol,Dealer,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,5.0
Maruti,Alto,2016.0,315000.0,32000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
Maruti,Alto,2016.0,,38000,Petrol,Dealer,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
Hyundai,i10,2012.0,290000.0,28000,Petrol,Dealer,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
Maruti,Omni,2017.0,280000.0,32000,Petrol,Dealer,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,5.0
Maruti,Wagon,2010.0,225000.0,44000,LPG,Dealer,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,5.0
Volkswagen,Polo,2015.0,455000.0,42000,Petrol,Dealer,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,5.0
Hyundai,i10,2015.0,351000.0,45000,Petrol,Dealer,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,5.0
Volkswagen,Vento,2012.0,535000.0,12000,Petrol,Dealer,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,5.0
Maruti,Zen,2009.0,175000.0,55500,Petrol,Dealer,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,5.0
Hyundai,i20,2013.0,525000.0,61500,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0
Maruti,Swift,2016.0,600000.0,150000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,5.0
Hyundai,,2016.0,565000.0,72000,Petrol,Dealer,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,5.0
Maruti,Alto,2008.0,120000.0,68000,Petrol,Dealer,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Hyundai,i20,2017.0,725000.0,110000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,5.0
Maruti,Wagon,2009.0,185000.0,77000,Petrol,Dealer,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,5.0
Tata,Manza,2010.0,200000.0,100000,Diesel,Individual,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,5.0
Maruti,Swift,2019.0,,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Eeco,2016.0,270000.0,100000,Petrol,Individual,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,7.0
Maruti,Baleno,2018.0,610000.0,35000,Petrol,Individual,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,5.0
Mahindra,Scorpio,2014.0,625000.0,70000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,8.0
Ford,Freestyle,2020.0,400000.0,5000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,5.0
Hyundai,Verna,2017.0,866000.0,37800,Petrol,Individual,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,5.0
Volkswagen,Passat,2010.0,700000.0,114000,Petrol,Individual,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,5.0
Tata,Indica,2010.0,300000.0,48000,Petrol,Individual,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,5.0
Mahindra,XUV500,2019.0,1700000.0,32000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,7.0
Tata,Indigo,2016.0,375000.0,100000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,5.0
Hyundai,Verna,2013.0,522000.0,150000,Diesel,Individual,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,5.0
Hyundai,i20,2013.0,451999.0,69000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,5.0
Toyota,Corolla,2009.0,300000.0,100000,Petrol,Individual,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,5.0
Maruti,Celerio,2020.0,475000.0,13000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,5.0
Maruti,Vitara,2016.0,,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,5.0
Maruti,Swift,2017.0,595000.0,40000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0
Maruti,Wagon,2017.0,440000.0,35000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,5.0
Nissan,Terrano,2014.0,400000.0,70000,Diesel,Individual,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,5.0
Hyundai,Creta,2016.0,1140000.0,50000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,5.0
Ford,EcoSport,2017.0,850000.0,76139,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,5.0
Maruti,,2012.0,370000.0,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,5.0
Renault,KWID,2018.0,,25000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,5.0
Maruti,Celerio,2015.0,360000.0,40000,Petrol,Individual,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,5.0
Maruti,Alto,2008.0,105000.0,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,5.0
Maruti,,2013.0,625000.0,90000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0
Hyundai,,2009.0,,80000,Petrol,Individual,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,5.0
Maruti,Ertiga,2015.0,700000.0,110000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0
Honda,Amaze,2019.0,690000.0,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,5.0
Audi,Q5,2018.0,3975000.0,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,5.0
Lexus,ES,2019.0,5150000.0,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,5.0
Jaguar,XF,2017.0,3200000.0,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,5.0
Jeep,,2017.0,4100000.0,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,5.0
Land,Rover,2019.0,4500000.0,21000,Diesel,Dealer,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,7.0
Mercedes-Benz,S-Class,2017.0,6000000.0,37000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,5.0
BMW,5,2018.0,3790000.0,29500,Diesel,Dealer,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,5.0
BMW,X4,,5800000.0,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,5.0
Skoda,Superb,2018.0,1864999.0,50000,Petrol,Dealer,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,5.0
Mercedes-Benz,E-Class,2016.0,2700000.0,35000,Diesel,Dealer,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,5.0
,Hector,2019.0,1750000.0,19000,Petrol,Dealer,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,5.0
Honda,City,2017.0,795000.0,41000,Petrol,Dealer,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,5.0
Toyota,Corolla,2013.0,625000.0,39000,Petrol,Dealer,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,5.0
Volvo,XC40,2018.0,3400000.0,22000,Diesel,Dealer,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,5.0
Audi,Q7,2015.0,2650000.0,53000,Diesel,Dealer,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,7.0
Maruti,Ciaz,2015.0,535000.0,40000,Diesel,Dealer,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,5.0
Mercedes-Benz,S-Class,2017.0,5850000.0,47000,Diesel,Dealer,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,5.0
BMW,5,2010.0,975000.0,72200,Petrol,Dealer,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,5.0
Hyundai,Elantra,2016.0,805000.0,49900,Petrol,Dealer,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5.0
Jaguar,XE,2017.0,2625000.0,9000,Diesel,Dealer,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,5.0
Tata,Nexon,2018.0,811000.0,11000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,5.0
Volkswagen,Vento,2011.0,375000.0,49000,Petrol,Individual,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,5.0
Hyundai,Elantra,2012.0,550000.0,95000,Petrol,Individual,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,5.0
Skoda,Rapid,2016.0,645000.0,11000,Petrol,Dealer,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,5.0
Mercedes-Benz,CLA,2018.0,2550000.0,18000,Petrol,Dealer,Automatic,First Owner,15.04 kmpl,1991 CC,183 bhp,5.0
Maruti,Ertiga,2014.0,599000.0,46100,Petrol,Dealer,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,7.0
Mercedes-Benz,New,2017.0,2700000.0,16000,Petrol,Dealer,Automatic,First Owner,14.74 kmpl,1991 CC,181.04 bhp,5.0
Honda,City,2017.0,875000.0,18000,Petrol,Dealer,Automatic,First Owner,15.6 kmpl,1497 CC,116.3 bhp,5.0
Toyota,Glanza,2019.0,894999.0,9654,Petrol,Dealer,Automatic,First Owner,19.56 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Alto,2011.0,175000.0,11000,Petrol,Dealer,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,5.0
Maruti,Swift,2012.0,340000.0,24300,Petrol,Dealer,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
,Innova,2016.0,1525000.0,42163,Diesel,Dealer,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,7.0
Tata,Nexon,2018.0,1025000.0,8000,Diesel,Dealer,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,5.0
,3,2016.0,2150000.0,30000,Diesel,Dealer,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,5.0
,Camry,2016.0,1900000.0,41000,Petrol,Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,5.0
BMW,5,2016.0,2900000.0,12000,Diesel,Dealer,Automatic,First Owner,18.12 kmpl,1995 CC,190 bhp,5.0
Toyota,Camry,2009.0,450000.0,71000,Petrol,Dealer,Automatic,First Owner,12.1 kmpl,2362 CC,164.7 bhp,5.0
Maruti,,2016.0,850000.0,20000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,7.0
Volvo,XC90,2017.0,10000000.0,30000,Petrol,Individual,Automatic,First Owner,42.0 kmpl,1969 CC,400 bhp,4.0
Volkswagen,Vento,2011.0,,100000,Diesel,Individual,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,5.0
Ford,Figo,,575000.0,9500,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,5.0
Ford,Figo,2011.0,160000.0,120000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,5.0
Maruti,Swift,2015.0,515000.0,36600,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0
Maruti,,2015.0,390000.0,50000,Petrol,Individual,Automatic,Second Owner,20.51 kmpl,998 CC,67 bhp,5.0
Hyundai,i20,2016.0,550000.0,14000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,5.0
Maruti,800,1999.0,40000.0,40000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4.0
Maruti,Ritz,2010.0,220000.0,120000,Diesel,Individual,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,5.0
Hyundai,Grand,2015.0,425000.0,70000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,5.0
,Ameo,,480000.0,13000,Petrol,Individual,Manual,First Owner,19.44 kmpl,999 CC,75 bhp,5.0
Hyundai,Grand,2014.0,400000.0,60000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,5.0
Maruti,Swift,2014.0,487000.0,35000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,5.0
Hyundai,Xcent,2016.0,386000.0,44000,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1197 CC,82 bhp,5.0
Honda,City,2005.0,100000.0,120000,Petrol,Individual,Manual,Second Owner,13.0 kmpl,1493 CC,100 bhp,5.0
Toyota,Corolla,2010.0,300000.0,60000,Diesel,Individual,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,5.0
Daewoo,Matiz,2000.0,100000.0,60000,Petrol,Individual,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,5.0
Toyota,Fortuner,2014.0,1750000.0,30000,Diesel,Individual,Manual,Second Owner,13.0 kmpl,2982 CC,168.5 bhp,7.0
Mahindra,KUV,2016.0,450000.0,15000,Petrol,Individual,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,6.0
Tata,Zest,2017.0,,90000,Diesel,Individual,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,5.0
Honda,City,2009.0,345000.0,47000,Petrol,Individual,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,5.0
Maruti,Zen,2005.0,85000.0,90000,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,5.0
Maruti,Wagon,2010.0,215000.0,120600,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,5.0
Hyundai,Verna,2010.0,320000.0,100000,Petrol,Individual,Manual,Third Owner,16.2 kmpl,1599 CC,103.2 bhp,5.0
Maruti,Swift,2016.0,459999.0,60000,Petrol,Individual,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0
Hyundai,Getz,2005.0,65000.0,86000,Petrol,Individual,Manual,First Owner,15.3 kmpl,1341 CC,83 bhp,5.0
Hyundai,Elite,2020.0,720000.0,5000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,5.0
Maruti,Ciaz,2017.0,,37000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,5.0
Tata,Tigor,2019.0,520000.0,14000,Petrol,Individual,Manual,First Owner,20.3 kmpl,1199 CC,84 bhp,5.0
Maruti,Ertiga,2015.0,580000.0,70000,Diesel,Individual,Manual,First Owner,20.77 kmpl,1248 CC,88.76 bhp,7.0
Honda,City,2015.0,600000.0,50000,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,5.0
Honda,Brio,2014.0,290000.0,60000,Petrol,Individual,Manual,Second Owner,19.4 kmpl,1198 CC,86.8 bhp,5.0
Maruti,Wagon,2016.0,360000.0,50000,CNG,Individual,Manual,First Owner,26.6 km/kg,998 CC,58.16 bhp,5.0
Maruti,Swift,2017.0,550000.0,50000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,5.0
Hyundai,i20,2013.0,375000.0,70000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0
Maruti,Wagon,2018.0,420000.0,35000,Petrol,Individual,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,5.0
Maruti,Swift,2017.0,550000.0,20000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Alto,2018.0,270000.0,20000,Petrol,Individual,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,5.0
Maruti,Swift,2018.0,700000.0,7800,Petrol,Individual,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,5.0
Maruti,Swift,2017.0,500000.0,20000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,5.0
,Hexa,2019.0,1250000.0,15000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,147.94 bhp,7.0
Hyundai,,2013.0,320000.0,31377,Petrol,Individual,Manual,Second Owner,18.5 kmpl,1197 CC,82.85 bhp,5.0
Maruti,Swift,2018.0,700000.0,50000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,5.0
